TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness
1,1999,6,0,该月份的天数应在1到30之间,,
2,1999,6,1,1999年6月2日,,
3,1999,6,3,1999年6月4日,,
4,1999,6,15,1999年6月16日,,
5,1999,6,29,1999年6月30日,,
6,1999,6,30,1999年7月1日,,
7,1999,6,31,该月份的天数应在1到30之间,,
8,1999,0,15,年月须为正整数，且月份为1-12,,
9,1999,1,15,1999年1月16日,,
10,1999,2,15,1999年2月16日,,
11,1999,6,16,1999年6月17日,,
12,1999,11,15,1999年11月16日,,
13,1999,12,16,1999年12月17日,,
14,1999,13,15,年月须为正整数，且月份为1-12,,
15,0,3,15,年月须为正整数，且月份为1-12,,
16,1,3,15,1年3月16日,,
17,1999,7,32,该月份的天数应在1到31之间。,,
18,2004,2,30,闰年的2月日期应为1-29,,
19,1999,2,29,平年的2月日期应为1-28,,